DateOfRSPS,Region-Zone,Hub Name,RunsheetType,FHRID,DeliveryType,Delivered
01-May-20,Andhra-2,Hub 4,runSheet,FHR-1,Type 1,23
01-May-20,Andhra-2,Hub 4,runSheet,FHR-2,Type 1,18
01-May-20,Andhra-2,Hub 4,runSheet,FHR-3,Type 1,5
01-May-20,Andhra-2,Hub 4,runSheet,FHR-4,Type 1,7
01-May-20,Andhra-2,Hub 4,runSheet,FHR-5,Type 1,19
01-May-20,Andhra-2,Hub 4,runSheet,FHR-6,Type 1,6
01-May-20,Andhra-2,Hub 4,runSheet,FHR-7,Type 1,16
01-May-20,Andhra-2,Hub 4,runSheet,FHR-8,Type 1,9
01-May-20,Andhra-2,Hub 4,runSheet,FHR-9,Type 1,20
01-May-20,Andhra-2,Hub 4,runSheet,FHR-10,Type 1,5
01-May-20,Andhra-2,Hub 4,runSheet,FHR-11,Type 1,6
01-May-20,Andhra-2,Hub 4,runSheet,FHR-12,Type 1,7
01-May-20,Andhra-2,Hub 4,runSheet,FHR-13,Type 1,15
01-May-20,Andhra-2,Hub 4,runSheet,FHR-14,Type 1,8
01-May-20,Andhra-2,Hub 4,runSheet,FHR-15,Type 1,10
01-May-20,Andhra-2,Hub 4,runSheet,FHR-16,Type 1,14
01-May-20,Andhra-2,Hub 8,runSheet,FHR-17,Type2,7
01-May-20,Andhra-2,Hub 8,runSheet,FHR-18,Type2,8
01-May-20,Andhra-2,Hub 8,runSheet,FHR-19,Type2,12
01-May-20,Andhra-2,Hub 8,runSheet,FHR-20,Type2,7
01-May-20,Andhra-2,Hub 8,runSheet,FHR-21,Type2,11
01-May-20,Andhra-2,Hub 8,runSheet,FHR-22,Type2,7
01-May-20,Andhra-2,Hub 8,runSheet,FHR-23,Type2,9
01-May-20,Andhra-2,Hub 8,runSheet,FHR-24,Type2,7
01-May-20,Andhra-2,Hub 8,runSheet,FHR-25,Type2,9
01-May-20,Andhra-2,Hub 10,runSheet,FHR-26,Type2,1
01-May-20,Andhra-2,Hub 10,runSheet,FHR-27,Type2,10
01-May-20,Andhra-2,Hub 10,runSheet,FHR-28,Type2,3
01-May-20,Andhra-2,Hub 10,runSheet,FHR-29,Type2,4
01-May-20,Andhra-2,Hub 10,runSheet,FHR-30,Type2,15
01-May-20,Andhra-2,Hub 10,runSheet,FHR-31,Type2,1
01-May-20,Andhra-2,Hub 10,runSheet,FHR-32,Type2,6
01-May-20,Andhra-2,Hub 10,runSheet,FHR-33,Type2,1
01-May-20,Andhra-2,Hub 10,runSheet,FHR-34,Type2,15
01-May-20,Andhra-2,Hub 10,runSheet,FHR-35,Type2,2
01-May-20,Andhra-2,Hub 10,runSheet,FHR-36,Type2,1
01-May-20,Andhra-2,Hub 10,runSheet,FHR-37,Type2,2
01-May-20,Andhra-2,Hub 10,runSheet,FHR-38,Type2,16
01-May-20,Andhra-2,Hub 10,runSheet,FHR-39,Type2,1
01-May-20,Andhra-2,Hub 10,runSheet,FHR-40,Type 1,4
01-May-20,Andhra-2,Hub 10,runSheet,FHR-41,Type 1,15
01-May-20,Andhra-2,Hub 10,runSheet,FHR-42,Type 1,1
01-May-20,Andhra-2,Hub 10,runSheet,FHR-43,Type 1,2
01-May-20,Andhra-2,Hub 10,runSheet,FHR-44,Type 1,2
01-May-20,Andhra-2,Hub 10,runSheet,FHR-45,Type 3,1
01-May-20,Andhra-2,Hub 10,runSheet,FHR-46,Type 3,3
01-May-20,Jharkhand,Hub 2,runSheet,FHR-47,Type2,9
01-May-20,Jharkhand,Hub 2,runSheet,FHR-48,Type2,6
01-May-20,Jharkhand,Hub 2,runSheet,FHR-49,Type2,6
01-May-20,Jharkhand,Hub 2,runSheet,FHR-50,Type2,4
01-May-20,Jharkhand,Hub 2,runSheet,FHR-51,Type2,20
01-May-20,Jharkhand,Hub 2,runSheet,FHR-52,Type2,8
01-May-20,Jharkhand,Hub 2,runSheet,FHR-53,Type2,6
01-May-20,Jharkhand,Hub 2,runSheet,FHR-54,Type2,3
01-May-20,Jharkhand,Hub 2,runSheet,FHR-55,Type2,13
01-May-20,Jharkhand,Hub 2,runSheet,FHR-56,Type2,15
01-May-20,Jharkhand,Hub 2,runSheet,FHR-57,Type2,5
01-May-20,Jharkhand,Hub 2,runSheet,FHR-58,Type2,10
01-May-20,Jharkhand,Hub 2,runSheet,FHR-59,Type2,25
01-May-20,Jharkhand,Hub 2,runSheet,FHR-60,Type2,11
01-May-20,Jharkhand,Hub 2,runSheet,FHR-61,Type2,10
01-May-20,Jharkhand,Hub 2,runSheet,FHR-62,Type2,7
01-May-20,Jharkhand,Hub 2,runSheet,FHR-63,Type2,1
01-May-20,Jharkhand,Hub 2,runSheet,FHR-64,Type2,12
01-May-20,North Bengal,Hub 7,runSheet,FHR-65,Type 1,32
01-May-20,North Bengal,Hub 7,runSheet,FHR-66,Type 1,42
01-May-20,North Bengal,Hub 7,runSheet,FHR-67,Type 1,28
01-May-20,North Bengal,Hub 7,runSheet,FHR-68,Type 1,12
01-May-20,North Bengal,Hub 7,runSheet,FHR-69,Type 1,53
01-May-20,North Bengal,Hub 7,runSheet,FHR-70,Type 1,17
01-May-20,North Bengal,Hub 7,runSheet,FHR-71,Type 1,45
01-May-20,North Bengal,Hub 7,runSheet,FHR-72,Type 1,23
01-May-20,South Bengal,Hub 11,runSheet,FHR-73,Type2,24
01-May-20,South Bengal,Hub 11,runSheet,FHR-74,Type2,10
01-May-20,South Bengal,Hub 11,runSheet,FHR-75,Type2,9
01-May-20,South Bengal,Hub 11,runSheet,FHR-76,Type2,5
01-May-20,South Bengal,Hub 11,runSheet,FHR-77,Type2,12
01-May-20,South Bengal,Hub 11,runSheet,FHR-78,Type2,8
01-May-20,South Bengal,Hub 11,runSheet,FHR-79,Type2,8
01-May-20,South Bengal,Hub 11,runSheet,FHR-80,Type2,9
01-May-20,South Bengal,Hub 11,runSheet,FHR-81,Type2,18
01-May-20,South Bengal,Hub 11,runSheet,FHR-82,Type2,2
01-May-20,South Bengal,Hub 11,runSheet,FHR-83,Type2,3
01-May-20,South Bengal,Hub 11,runSheet,FHR-84,Type2,22
01-May-20,South Bengal,Hub 11,runSheet,FHR-85,Type2,11
01-May-20,South Bengal,Hub 11,runSheet,FHR-86,Type2,16
01-May-20,South Bengal,Hub 11,runSheet,FHR-87,Type2,16
01-May-20,South Bengal,Hub 11,runSheet,FHR-88,Type 3,35
01-May-20,South Bengal,Hub 11,runSheet,FHR-89,Type 3,24
02-May-20,Andhra-2,Hub 4,runSheet,FHR-1,Type 1,3
02-May-20,Andhra-2,Hub 4,runSheet,FHR-2,Type 1,5
02-May-20,Andhra-2,Hub 4,runSheet,FHR-3,Type 1,2
02-May-20,Andhra-2,Hub 4,runSheet,FHR-4,Type 1,2
02-May-20,Andhra-2,Hub 4,runSheet,FHR-5,Type 1,2
02-May-20,Andhra-2,Hub 4,runSheet,FHR-6,Type 1,1
02-May-20,Andhra-2,Hub 4,runSheet,FHR-7,Type 1,4
02-May-20,Andhra-2,Hub 4,runSheet,FHR-8,Type 1,2
02-May-20,Andhra-2,Hub 4,runSheet,FHR-9,Type 1,2
02-May-20,Andhra-2,Hub 4,runSheet,FHR-10,Type 1,1
02-May-20,Andhra-2,Hub 4,runSheet,FHR-11,Type 1,1
02-May-20,Andhra-2,Hub 4,runSheet,FHR-12,Type 1,4
02-May-20,Andhra-2,Hub 4,runSheet,FHR-13,Type 1,2
02-May-20,Andhra-2,Hub 4,runSheet,FHR-14,Type 1,2
02-May-20,Andhra-2,Hub 4,runSheet,FHR-15,Type 1,3
02-May-20,Andhra-2,Hub 4,runSheet,FHR-16,Type 1,2
02-May-20,Andhra-2,Hub 8,runSheet,FHR-90,Type2,9
02-May-20,Andhra-2,Hub 8,runSheet,FHR-91,Type2,3
02-May-20,Andhra-2,Hub 8,runSheet,FHR-92,Type2,9
02-May-20,Andhra-2,Hub 8,runSheet,FHR-93,Type2,10
02-May-20,Andhra-2,Hub 8,runSheet,FHR-17,Type2,8
02-May-20,Andhra-2,Hub 8,runSheet,FHR-94,Type2,4
02-May-20,Andhra-2,Hub 8,runSheet,FHR-95,Type2,7
02-May-20,Andhra-2,Hub 8,runSheet,FHR-96,Type2,7
02-May-20,Andhra-2,Hub 8,runSheet,FHR-97,Type2,7
02-May-20,Andhra-2,Hub 8,runSheet,FHR-98,Type2,4
02-May-20,Andhra-2,Hub 8,runSheet,FHR-99,Type2,5
02-May-20,Andhra-2,Hub 10,runSheet,FHR-26,Type2,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-27,Type2,2
02-May-20,Andhra-2,Hub 10,runSheet,FHR-28,Type2,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-29,Type2,3
02-May-20,Andhra-2,Hub 10,runSheet,FHR-30,Type2,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-31,Type2,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-32,Type2,2
02-May-20,Andhra-2,Hub 10,runSheet,FHR-33,Type2,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-34,Type2,2
02-May-20,Andhra-2,Hub 10,runSheet,FHR-35,Type2,2
02-May-20,Andhra-2,Hub 10,runSheet,FHR-36,Type2,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-37,Type2,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-100,Type2,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-38,Type2,2
02-May-20,Andhra-2,Hub 10,runSheet,FHR-39,Type2,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-40,Type 1,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-41,Type 1,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-42,Type 1,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-43,Type 1,3
02-May-20,Andhra-2,Hub 10,runSheet,FHR-44,Type 1,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-45,Type 3,1
02-May-20,Andhra-2,Hub 10,runSheet,FHR-46,Type 3,1
02-May-20,Jharkhand,Hub 2,runSheet,FHR-47,Type2,2
02-May-20,Jharkhand,Hub 2,runSheet,FHR-48,Type2,6
02-May-20,Jharkhand,Hub 2,runSheet,FHR-49,Type2,3
02-May-20,Jharkhand,Hub 2,runSheet,FHR-50,Type2,2
02-May-20,Jharkhand,Hub 2,runSheet,FHR-51,Type2,21
02-May-20,Jharkhand,Hub 2,runSheet,FHR-52,Type2,2
02-May-20,Jharkhand,Hub 2,runSheet,FHR-53,Type2,6
02-May-20,Jharkhand,Hub 2,runSheet,FHR-101,Type2,1
02-May-20,Jharkhand,Hub 2,runSheet,FHR-54,Type2,4
02-May-20,Jharkhand,Hub 2,runSheet,FHR-55,Type2,14
02-May-20,Jharkhand,Hub 2,runSheet,FHR-56,Type2,4
02-May-20,Jharkhand,Hub 2,runSheet,FHR-57,Type2,4
02-May-20,Jharkhand,Hub 2,runSheet,FHR-58,Type2,8
02-May-20,Jharkhand,Hub 2,runSheet,FHR-59,Type2,24
02-May-20,Jharkhand,Hub 2,runSheet,FHR-60,Type2,12
02-May-20,Jharkhand,Hub 2,runSheet,FHR-61,Type2,13
02-May-20,Jharkhand,Hub 2,runSheet,FHR-62,Type2,5
02-May-20,Jharkhand,Hub 2,runSheet,FHR-63,Type2,2
02-May-20,Jharkhand,Hub 2,runSheet,FHR-64,Type2,14
02-May-20,North Bengal,Hub 9,runSheet,FHR-102,Type2,29
02-May-20,North Bengal,Hub 9,runSheet,FHR-103,Type2,20
02-May-20,North Bengal,Hub 9,runSheet,FHR-104,Type2,14
02-May-20,North Bengal,Hub 9,runSheet,FHR-105,Type2,11
02-May-20,North Bengal,Hub 9,runSheet,FHR-106,Type2,27
02-May-20,North Bengal,Hub 9,runSheet,FHR-107,Type2,19
02-May-20,North Bengal,Hub 9,runSheet,FHR-108,Type2,5
02-May-20,North Bengal,Hub 9,runSheet,FHR-109,Type2,9
02-May-20,North Bengal,Hub 9,runSheet,FHR-110,Type2,10
02-May-20,North East,Hub 5,runSheet,FHR-111,Type 1,1
02-May-20,North East,Hub 5,runSheet,FHR-112,Type 1,1
02-May-20,North East,Hub 6,runSheet,FHR-113,Type 1,10
02-May-20,North East,Hub 6,runSheet,FHR-114,Type 1,14
02-May-20,North East,Hub 6,runSheet,FHR-115,Type 1,23
02-May-20,North East,Hub 6,runSheet,FHR-116,Type 1,14
02-May-20,North East,Hub 6,runSheet,FHR-117,Type 1,18
02-May-20,North East,Hub 6,runSheet,FHR-118,Type 1,16
02-May-20,South Bengal,Hub 3,runSheet,FHR-119,Type2,11
02-May-20,South Bengal,Hub 3,runSheet,FHR-120,Type2,8
02-May-20,South Bengal,Hub 3,runSheet,FHR-121,Type2,19
02-May-20,South Bengal,Hub 3,runSheet,FHR-122,Type2,15
02-May-20,South Bengal,Hub 3,runSheet,FHR-123,Type2,20
02-May-20,South Bengal,Hub 3,runSheet,FHR-124,Type2,7
02-May-20,South Bengal,Hub 3,runSheet,FHR-125,Type2,4
02-May-20,South Bengal,Hub 3,runSheet,FHR-126,Type2,6
02-May-20,South Bengal,Hub 3,runSheet,FHR-127,Type2,10
02-May-20,South Bengal,Hub 3,runSheet,FHR-128,Type2,14
02-May-20,South Bengal,Hub 3,runSheet,FHR-129,Type2,16
02-May-20,South Bengal,Hub 11,runSheet,FHR-73,Type2,3
02-May-20,South Bengal,Hub 11,runSheet,FHR-74,Type2,13
02-May-20,South Bengal,Hub 11,runSheet,FHR-75,Type2,3
02-May-20,South Bengal,Hub 11,runSheet,FHR-77,Type2,6
02-May-20,South Bengal,Hub 11,runSheet,FHR-78,Type2,11
02-May-20,South Bengal,Hub 11,runSheet,FHR-79,Type2,10
02-May-20,South Bengal,Hub 11,runSheet,FHR-80,Type2,2
02-May-20,South Bengal,Hub 11,runSheet,FHR-130,Type2,6
02-May-20,South Bengal,Hub 11,runSheet,FHR-81,Type2,13
02-May-20,South Bengal,Hub 11,runSheet,FHR-131,Type2,10
02-May-20,South Bengal,Hub 11,runSheet,FHR-83,Type2,2
02-May-20,South Bengal,Hub 11,runSheet,FHR-84,Type2,22
02-May-20,South Bengal,Hub 11,runSheet,FHR-85,Type2,12
02-May-20,South Bengal,Hub 11,runSheet,FHR-86,Type2,15
02-May-20,South Bengal,Hub 11,runSheet,FHR-87,Type2,5
02-May-20,South Bengal,Hub 11,runSheet,FHR-88,Type 3,22
02-May-20,South Bengal,Hub 11,runSheet,FHR-89,Type 3,18
02-May-20,Telangana,Hub 1,runSheet,FHR-132,Type2,23
02-May-20,Telangana,Hub 1,runSheet,FHR-133,Type2,2
02-May-20,Telangana,Hub 1,runSheet,FHR-134,Type2,17
02-May-20,Telangana,Hub 1,runSheet,FHR-135,Type2,3
03-May-20,Andhra-2,Hub 4,runSheet,FHR-1,Type 1,24
03-May-20,Andhra-2,Hub 4,runSheet,FHR-2,Type 1,20
03-May-20,Andhra-2,Hub 4,runSheet,FHR-3,Type 1,8
03-May-20,Andhra-2,Hub 4,runSheet,FHR-4,Type 1,6
03-May-20,Andhra-2,Hub 4,runSheet,FHR-5,Type 1,22
03-May-20,Andhra-2,Hub 4,runSheet,FHR-6,Type 1,4
03-May-20,Andhra-2,Hub 4,runSheet,FHR-7,Type 1,16
03-May-20,Andhra-2,Hub 4,runSheet,FHR-8,Type 1,3
03-May-20,Andhra-2,Hub 4,runSheet,FHR-9,Type 1,28
03-May-20,Andhra-2,Hub 4,runSheet,FHR-10,Type 1,7
03-May-20,Andhra-2,Hub 4,runSheet,FHR-11,Type 1,7
03-May-20,Andhra-2,Hub 4,runSheet,FHR-12,Type 1,4
03-May-20,Andhra-2,Hub 4,runSheet,FHR-13,Type 1,13
03-May-20,Andhra-2,Hub 4,runSheet,FHR-15,Type 1,15
03-May-20,Andhra-2,Hub 4,runSheet,FHR-16,Type 1,12
03-May-20,Andhra-2,Hub 4,runSheet,FHR-136,Type 1,6
03-May-20,Andhra-2,Hub 8,runSheet,FHR-137,Type2,7
03-May-20,Andhra-2,Hub 8,runSheet,FHR-138,Type2,12
03-May-20,Andhra-2,Hub 8,runSheet,FHR-91,Type2,9
03-May-20,Andhra-2,Hub 8,runSheet,FHR-139,Type2,13
03-May-20,Andhra-2,Hub 8,runSheet,FHR-21,Type2,12
03-May-20,Andhra-2,Hub 8,runSheet,FHR-140,Type2,8
03-May-20,Andhra-2,Hub 8,runSheet,FHR-141,Type2,9
03-May-20,Andhra-2,Hub 8,runSheet,FHR-94,Type2,8
03-May-20,Andhra-2,Hub 8,runSheet,FHR-142,Type2,10
03-May-20,Andhra-2,Hub 8,runSheet,FHR-143,Type2,9
